Obszar metropolitalny,podregion NTS3,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
43,koniński,5.5,2.0,4.4,3.9,2.4,3.3,3.6,3.7,3.5,3.6,3.5,3.2,3.1,3.1,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
44,leszczyński,5.5,2.0,4.4,3.9,2.4,3.3,3.6,3.7,3.5,3.6,3.5,3.2,3.1,3.1,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
45,pilski,5.5,2.0,4.4,3.9,2.4,3.3,3.6,3.7,3.5,3.6,3.5,3.2,3.1,3.1,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
46,m. Szczecin,4.0,1.5,3.2,2.7,1.7,2.3,2.6,2.7,2.6,2.6,2.6,2.3,2.4,2.4,2.3,2.2,2.2,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
47,szczeciński,4.0,1.5,3.2,2.7,1.7,2.3,2.6,2.7,2.6,2.6,2.6,2.3,2.4,2.4,2.3,2.2,2.2,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
48,koszaliński,3.9,1.4,3.1,2.6,1.6,2.2,2.4,2.5,2.3,2.4,2.3,2.1,2.1,2.1,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
49,stargardzki,3.9,1.4,3.1,2.6,1.6,2.2,2.4,2.5,2.3,2.4,2.3,2.1,2.1,2.1,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
50,m. Wroclaw,4.8,1.8,3.8,3.8,2.4,3.2,3.6,3.7,3.5,3.6,3.5,3.3,3.3,3.4,3.3,3.2,3.1,3.0,3.0,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
51,wroclawski,4.8,1.8,3.8,3.8,2.4,3.2,3.6,3.7,3.5,3.6,3.5,3.3,3.3,3.4,3.3,3.2,3.1,3.0,3.0,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
52,jeleniogorski,4.6,1.7,3.7,3.6,2.3,3.1,3.3,3.4,3.2,3.3,3.2,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
53,legnicko-glogowski,4.6,1.7,3.7,3.6,2.3,3.1,3.3,3.4,3.2,3.3,3.2,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
54,walbrzyski,4.6,1.7,3.7,3.6,2.3,3.1,3.3,3.4,3.2,3.3,3.2,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
55,nyski,4.6,1.7,3.7,3.3,2.1,2.8,3.0,3.1,2.9,3.0,2.9,2.7,2.6,2.7,2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
56,opolski,4.6,1.7,3.7,3.3,2.1,2.8,3.0,3.1,2.9,3.0,2.9,2.7,2.6,2.7,2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
